Application Date,Country,YOE,Seniority,Technology,Code Challenge Score,Technical Interview Score,approved
2018-02-08,Algeria,17,Trainee,DevOps,1,7,False
2018-08-08,Indonesia,28,Lead,DevOps,5,8,False
2020-05-23,United Kingdom,12,Intern,Development - Frontend,9,10,True
2020-12-07,France,7,Junior,Game Development,3,5,False
2018-11-06,Haiti,29,Junior,System Administration,3,1,False
2021-01-12,Haiti,16,Lead,QA Automation,5,7,False
2019-02-21,Mexico,17,Lead,Development - CMS Frontend,0,4,False
2022-02-17,Jersey,21,Junior,QA Manual,2,7,False
2020-06-20,Moldova,19,Lead,Business Analytics / Project Management,2,10,False
2021-08-22,Austria,21,Trainee,Development - Backend,3,3,False
2019-02-03,Kiribati,2,Mid-Level,Salesforce,1,6,False
2021-08-28,Hong Kong,0,Intern,Business Analytics / Project Management,6,6,False
2018-07-27,Japan,21,Senior,Social Media Community Management,10,5,False
2019-01-03,British Indian Ocean Territory (Chagos Archipelago),21,Mid-Level,Development - Backend,6,0,False
2018-02-21,Denmark,15,Architect,Sales,0,3,False
2019-03-22,Nauru,23,Trainee,Development - FullStack,9,1,False
2018-05-19,Tunisia,2,Intern,Design,1,0,False
2022-02-27,Bhutan,24,Junior,Technical Writing,8,10,True
2018-03-26,Kyrgyz Republic,24,Intern,Development - CMS Backend,0,7,False
2018-04-02,Afghanistan,23,Junior,Development - FullStack,10,3,False
2019-01-26,Grenada,30,Trainee,QA Manual,2,8,False
2022-06-20,Dominica,29,Lead,Technical Writing,9,8,True
2018-12-23,Maldives,16,Lead,Social Media Community Management,1,10,False
2020-05-22,Zimbabwe,0,Intern,Development - Frontend,5,6,False
2019-07-23,Mali,4,Intern,Design,8,6,False
2019-12-26,Togo,12,Intern,Security Compliance,3,6,False
2021-04-27,Heard Island and McDonald Islands,10,Intern,Development - Backend,1,2,False
2018-12-27,Vanuatu,10,Senior,Database Administration,1,3,False
2020-08-14,Malaysia,22,Lead,Mulesoft,4,10,False
2019-02-27,Congo,23,Architect,Security Compliance,10,3,False
2021-02-21,Montenegro,29,Junior,Game Development,6,6,False
2021-02-13,Togo,30,Mid-Level,Mulesoft,8,9,True
2019-03-15,Belize,1,Senior,Development - CMS Backend,7,2,False
2022-04-09,Cote d'Ivoire,16,Lead,Game Development,7,2,False
2022-06-26,Togo,19,Lead,Development - FullStack,5,7,False
2020-02-07,Marshall Islands,30,Mid-Level,Design,6,0,False
2018-03-09,Kyrgyz Republic,1,Intern,Development - Frontend,8,4,False
2019-08-12,Guam,28,Lead,Mulesoft,0,2,False
2022-03-23,Ghana,26,Junior,Technical Writing,3,8,False
2018-11-30,Turkey,13,Architect,Database Administration,0,5,False
2020-04-25,American Samoa,14,Mid-Level,Development - Backend,0,2,False
2018-07-31,Austria,18,Senior,Development - FullStack,5,0,False
2020-12-25,Israel,1,Senior,Mulesoft,1,0,False
2021-01-24,Sudan,17,Junior,Business Analytics / Project Management,1,7,False
2020-05-10,Libyan Arab Jamahiriya,24,Lead,DevOps,1,5,False
2020-12-14,Lesotho,14,Senior,Business Analytics / Project Management,4,10,False
2022-01-01,Samoa,7,Junior,DevOps,6,3,False
2018-06-04,Kenya,6,Intern,System Administration,2,3,False
2019-06-05,Bulgaria,13,Junior,Design,3,10,False
2022-03-20,Ghana,11,Intern,Business Intelligence,7,7,False
2018-01-25,Central African Republic,8,Mid-Level,Data Engineer,7,9,False
2021-01-24,Saint Pierre and Miquelon,10,Senior,Development - CMS Frontend,3,9,False
2020-10-21,Jordan,22,Lead,Mulesoft,6,7,False
2018-12-15,Burkina Faso,12,Junior,Development - FullStack,5,5,False
2022-05-17,El Salvador,20,Senior,QA Manual,10,9,True
2019-06-05,Ukraine,2,Intern,Adobe Experience Manager,4,8,False
2019-09-19,Bahamas,1,Mid-Level,Design,0,9,False
2018-07-13,Bulgaria,13,Architect,Security,0,3,False
2021-11-27,Dominica,2,Trainee,Client Success,6,10,False
2022-06-07,Bahrain,27,Trainee,Development - FullStack,10,4,False
2022-04-28,Taiwan,29,Junior,Salesforce,1,0,False
2022-06-21,Micronesia,1,Architect,Development - FullStack,8,9,True
2019-04-02,British Indian Ocean Territory (Chagos Archipelago),18,Junior,System Administration,8,7,False
2019-04-18,Nicaragua,25,Mid-Level,Sales,9,3,False
2020-07-15,Burkina Faso,12,Lead,Business Analytics / Project Management,8,9,True
2021-09-23,Malaysia,16,Mid-Level,Development - CMS Frontend,8,4,False
2021-03-01,Djibouti,30,Senior,Development - CMS Backend,1,5,False
2020-03-22,Saint Lucia,25,Trainee,Development - FullStack,2,7,False
2021-12-14,Kazakhstan,4,Trainee,Social Media Community Management,1,6,False
2020-03-12,Gibraltar,27,Senior,Database Administration,6,3,False
2019-02-16,Tonga,26,Lead,Salesforce,7,10,False
2022-03-29,Andorra,12,Trainee,Development - CMS Frontend,4,0,False
2022-03-31,Puerto Rico,12,Mid-Level,Client Success,7,1,False
2019-04-03,Zimbabwe,23,Junior,QA Automation,6,2,False
2019-11-04,Angola,25,Trainee,QA Automation,7,4,False
2019-03-03,Bhutan,19,Mid-Level,Mulesoft,5,8,False
2019-12-30,Saint Martin,11,Architect,Database Administration,10,7,False
2020-05-15,Dominica,1,Junior,Design,6,8,False
2020-06-26,Reunion,19,Senior,Design,6,4,False
2020-10-26,Maldives,21,Senior,Development - CMS Backend,8,4,False
2021-05-30,Brazil,8,Mid-Level,Adobe Experience Manager,3,2,False
2019-08-18,Cook Islands,11,Mid-Level,Database Administration,9,4,False
2020-04-20,Niger,8,Junior,QA Manual,5,7,False
2019-11-16,United States Minor Outlying Islands,7,Senior,QA Automation,3,1,False
2022-02-15,Antigua and Barbuda,21,Senior,Sales,1,6,False
2019-07-21,Democratic People's Republic of Korea,15,Mid-Level,Salesforce,2,6,False
2018-12-26,Thailand,25,Intern,Business Analytics / Project Management,7,6,False
2019-04-27,Philippines,30,Lead,DevOps,4,10,False
2018-09-25,Western Sahara,13,Lead,Business Analytics / Project Management,1,5,False
2020-11-26,Croatia,12,Junior,Business Analytics / Project Management,8,3,False
2021-11-04,Bermuda,7,Mid-Level,Client Success,8,0,False
2018-11-19,Svalbard & Jan Mayen Islands,24,Architect,Security Compliance,2,2,False
2018-06-07,Reunion,12,Architect,Design,5,3,False
2020-01-27,Lao People's Democratic Republic,4,Mid-Level,Security,10,9,True
2021-01-19,Gambia,21,Senior,QA Manual,10,2,False
2020-11-30,Virgin Islands U.S.,30,Lead,QA Automation,8,7,False
2019-03-25,Slovenia,4,Junior,Security Compliance,6,6,False
2019-02-11,Micronesia,29,Lead,DevOps,5,2,False
2018-08-05,Austria,28,Junior,Development - Frontend,0,0,False
2022-05-10,Ecuador,14,Intern,Client Success,1,7,False
2021-07-30,Turkmenistan,15,Lead,Mulesoft,7,8,False
2020-04-18,Montserrat,9,Intern,Security Compliance,3,1,False
2020-07-29,Philippines,9,Architect,Data Engineer,0,5,False
2020-01-11,Austria,5,Lead,Business Analytics / Project Management,3,3,False
2018-05-22,Saint Barthelemy,3,Senior,Technical Writing,10,2,False
2022-06-30,Paraguay,24,Senior,Mulesoft,6,0,False
2018-09-23,Thailand,27,Intern,Mulesoft,0,6,False
2021-05-31,Bhutan,17,Senior,Security Compliance,10,3,False
2020-11-10,Saint Barthelemy,20,Lead,DevOps,3,3,False
2020-04-10,Togo,28,Lead,Mulesoft,8,9,True
2021-11-09,Faroe Islands,10,Architect,Adobe Experience Manager,2,9,False
2019-08-12,Senegal,30,Lead,Design,3,9,False
2022-05-05,Mexico,4,Lead,Development - FullStack,5,6,False
2019-06-26,Saint Kitts and Nevis,7,Senior,Mulesoft,5,2,False
2018-05-26,Mauritius,14,Architect,Game Development,5,2,False
2021-07-21,Andorra,19,Lead,Adobe Experience Manager,4,3,False
2019-11-10,Rwanda,2,Junior,Game Development,4,1,False
2018-03-09,Haiti,29,Intern,System Administration,4,8,False
2020-11-19,Iran,27,Architect,Client Success,1,0,False
2021-11-11,Timor-Leste,23,Architect,Development - CMS Frontend,9,7,False
2020-04-24,Nicaragua,24,Senior,Development - CMS Backend,0,5,False
2021-09-02,China,9,Junior,DevOps,5,0,False
2022-05-04,Heard Island and McDonald Islands,26,Trainee,Game Development,0,1,False
2022-03-16,Saint Lucia,17,Lead,Business Analytics / Project Management,3,3,False
2019-11-30,Yemen,5,Junior,QA Automation,3,4,False
2021-06-15,French Polynesia,22,Intern,Client Success,5,6,False
2021-05-29,Saint Kitts and Nevis,29,Senior,Client Success,4,7,False
2018-09-19,Cyprus,24,Mid-Level,Database Administration,10,5,False
2022-06-06,Taiwan,14,Lead,System Administration,2,6,False
2022-06-14,France,3,Intern,Business Intelligence,10,2,False
2020-10-03,Guyana,2,Mid-Level,Development - CMS Frontend,10,4,False
2022-03-11,Tokelau,21,Mid-Level,Development - CMS Backend,8,0,False
2020-12-10,Algeria,7,Trainee,Development - CMS Frontend,2,10,False
2018-09-17,France,16,Mid-Level,Social Media Community Management,5,7,False
2019-08-22,Tokelau,25,Lead,Development - FullStack,6,2,False
2021-01-24,Panama,20,Junior,Development - Frontend,6,8,False
2020-09-06,Mauritania,28,Trainee,Security,6,4,False
2021-04-18,Mozambique,16,Intern,DevOps,5,4,False
2018-09-22,Poland,14,Intern,Technical Writing,1,10,False
2018-09-24,Greece,25,Mid-Level,Database Administration,6,8,False
2019-12-17,Liechtenstein,16,Intern,Mulesoft,7,5,False
2018-12-04,Papua New Guinea,2,Trainee,Development - Frontend,0,0,False
2022-02-22,Virgin Islands U.S.,22,Trainee,DevOps,6,0,False
2018-11-27,Montserrat,10,Trainee,Security Compliance,4,6,False
2020-01-08,Serbia,3,Senior,Security,10,1,False
2018-03-15,Fiji,18,Lead,Database Administration,4,1,False
2018-09-17,Cuba,15,Junior,Design,2,10,False
2019-12-29,Belize,2,Trainee,Game Development,7,9,False
2020-06-26,Australia,29,Lead,Database Administration,4,5,False
2018-02-28,El Salvador,12,Trainee,Client Success,1,3,False
2018-07-11,Egypt,5,Junior,Design,0,0,False
2019-09-18,Nigeria,0,Trainee,Business Analytics / Project Management,1,6,False
2018-12-11,Greece,27,Architect,QA Manual,5,1,False
2019-07-21,Ukraine,9,Senior,Design,4,7,False
2021-03-07,Mongolia,4,Mid-Level,Game Development,2,10,False
2022-03-08,Namibia,13,Architect,Development - Frontend,0,7,False
2022-04-17,Egypt,6,Lead,Sales,7,1,False
2018-03-10,Taiwan,13,Mid-Level,Game Development,5,8,False
2020-09-14,Poland,26,Junior,Development - FullStack,2,8,False
2019-11-25,Iceland,3,Lead,Security,6,8,False
2020-05-16,Australia,23,Senior,Security Compliance,2,2,False
2018-09-01,Portugal,12,Intern,Business Intelligence,6,0,False
2020-08-27,Guatemala,30,Intern,Development - CMS Frontend,9,8,True
2021-05-17,Paraguay,26,Lead,Development - FullStack,8,5,False
2020-06-14,Finland,13,Mid-Level,Development - CMS Frontend,10,5,False
2018-11-30,Solomon Islands,17,Lead,System Administration,7,4,False
2018-01-01,Brunei Darussalam,25,Junior,Sales,9,3,False
2020-10-25,Montenegro,18,Lead,QA Manual,4,5,False
2022-02-09,Cote d'Ivoire,22,Lead,Social Media Community Management,6,10,False
2018-03-13,Tanzania,19,Architect,Technical Writing,7,7,False
2020-04-06,Greece,9,Mid-Level,QA Automation,6,8,False
2020-06-04,Portugal,1,Senior,Adobe Experience Manager,8,2,False
2022-06-22,Niger,9,Senior,Security Compliance,2,8,False
2021-12-03,Portugal,23,Junior,Sales,0,4,False
2020-04-24,Puerto Rico,6,Junior,QA Manual,1,1,False
2019-11-25,Bulgaria,10,Architect,Salesforce,5,7,False
2020-09-11,France,18,Intern,Development - CMS Backend,9,1,False
2018-08-13,Sweden,28,Senior,Development - CMS Frontend,5,10,False
2018-05-24,Bermuda,25,Intern,System Administration,10,0,False
2020-01-25,Western Sahara,10,Architect,Development - Frontend,9,8,True
2021-11-23,Swaziland,7,Lead,Development - CMS Backend,5,9,False
2020-10-20,Saint Vincent and the Grenadines,9,Mid-Level,Sales,10,1,False
2019-01-26,Finland,13,Intern,Business Analytics / Project Management,2,10,False
2019-05-13,Holy See (Vatican City State),19,Senior,DevOps,6,9,False
2019-04-11,Serbia,23,Junior,Security,0,10,False
2019-05-22,Ecuador,26,Trainee,DevOps,8,4,False
2020-03-31,Sierra Leone,25,Architect,DevOps,2,8,False
2021-03-08,Somalia,9,Junior,Development - CMS Frontend,9,6,False
2018-07-28,Oman,6,Intern,Data Engineer,1,6,False
2021-08-20,Mexico,21,Junior,Development - FullStack,6,9,False
2022-04-02,Kenya,29,Architect,Client Success,9,9,True
2021-11-01,Montenegro,18,Trainee,QA Automation,9,10,True
2020-01-03,Argentina,18,Architect,Security,9,5,False
2018-03-28,Bolivia,19,Mid-Level,Business Analytics / Project Management,7,10,False
2020-10-27,Samoa,24,Lead,System Administration,8,4,False
2018-03-11,Luxembourg,6,Intern,Business Analytics / Project Management,3,7,False
2020-11-28,Venezuela,25,Lead,Game Development,7,9,False
2022-07-03,Niue,22,Lead,Technical Writing,9,6,False
2019-12-13,Antarctica (the territory South of 60 deg S),13,Trainee,Game Development,3,8,False
2018-09-12,Macedonia,28,Architect,Salesforce,10,4,False
2022-03-08,Slovenia,0,Lead,Security,4,9,False
2020-12-21,Ukraine,1,Lead,DevOps,3,1,False
2019-02-11,Estonia,29,Mid-Level,Development - Frontend,0,1,False
2018-12-20,Israel,7,Architect,Business Intelligence,4,2,False
2020-06-01,Netherlands Antilles,10,Intern,Design,4,10,False
2018-12-08,Zambia,16,Architect,Sales,1,4,False
2018-10-02,Syrian Arab Republic,19,Intern,Salesforce,9,10,True
2018-11-21,Honduras,24,Senior,Security Compliance,10,8,True
2021-11-18,Democratic People's Republic of Korea,13,Senior,Data Engineer,9,0,False
2019-04-04,Bangladesh,7,Intern,Development - Frontend,3,3,False
2020-01-27,Qatar,4,Trainee,DevOps,0,0,False
2020-02-03,United Arab Emirates,21,Architect,QA Automation,0,4,False
2018-03-03,Armenia,9,Lead,Development - CMS Frontend,10,5,False
2018-05-31,Sri Lanka,28,Senior,Security,7,7,False
2019-11-04,United Kingdom,4,Senior,QA Automation,10,2,False
2020-01-01,New Caledonia,2,Junior,Game Development,4,2,False
2019-07-14,Denmark,11,Mid-Level,Development - CMS Frontend,5,1,False
2020-06-27,Japan,8,Architect,Technical Writing,4,2,False
2022-03-23,Comoros,11,Architect,Social Media Community Management,6,5,False
2020-06-30,Uzbekistan,4,Senior,QA Automation,5,2,False
2019-07-10,United States Minor Outlying Islands,16,Mid-Level,DevOps,10,0,False
2018-11-18,Rwanda,27,Architect,DevOps,0,7,False
2019-05-17,Western Sahara,26,Junior,Technical Writing,0,7,False
2018-02-07,Senegal,0,Mid-Level,Data Engineer,5,5,False
2019-07-05,Cocos (Keeling) Islands,27,Architect,Adobe Experience Manager,6,6,False
2021-08-13,Azerbaijan,5,Intern,Game Development,9,1,False
2021-12-25,Qatar,25,Senior,Game Development,8,10,True
2021-02-03,Tanzania,28,Senior,Sales,9,6,False
2020-05-26,Serbia,25,Lead,Development - Frontend,6,9,False
2018-05-13,Guyana,13,Mid-Level,System Administration,1,7,False
2019-12-22,Russian Federation,10,Architect,Business Intelligence,2,3,False
2022-02-04,Zimbabwe,15,Architect,DevOps,6,9,False
2018-12-21,Saint Kitts and Nevis,29,Junior,Salesforce,4,9,False
2018-09-21,Grenada,11,Mid-Level,Security,6,0,False
2018-11-13,Chile,11,Trainee,DevOps,3,4,False
2020-03-25,Antarctica (the territory South of 60 deg S),12,Junior,Database Administration,5,0,False
2022-05-11,Equatorial Guinea,17,Trainee,Development - CMS Frontend,6,5,False
2018-12-07,Iceland,29,Trainee,Sales,1,3,False
2020-09-07,Western Sahara,15,Mid-Level,Data Engineer,7,5,False
2018-04-11,Brazil,16,Mid-Level,Salesforce,10,8,True
2021-05-15,Gibraltar,11,Senior,DevOps,9,7,False
2019-04-05,Cambodia,12,Mid-Level,Security,0,1,False
2018-06-18,Czech Republic,12,Mid-Level,QA Manual,3,3,False
2020-03-24,Republic of Korea,10,Senior,Security,2,0,False
2018-11-13,Botswana,28,Senior,Sales,3,8,False
2020-05-02,Papua New Guinea,10,Mid-Level,Database Administration,4,8,False
2018-12-10,Sudan,12,Mid-Level,Technical Writing,7,10,False
2018-07-23,Norway,27,Junior,QA Automation,5,7,False
2020-10-27,Egypt,13,Architect,Game Development,2,6,False
2020-07-05,Holy See (Vatican City State),20,Lead,Client Success,7,3,False
2018-05-22,Norway,12,Trainee,DevOps,1,6,False
2018-12-07,Niger,18,Intern,Salesforce,4,3,False
2020-04-23,Niue,4,Senior,Business Analytics / Project Management,0,8,False
2020-11-16,Martinique,26,Intern,Development - Frontend,7,10,False
2021-10-05,Oman,17,Senior,Development - CMS Backend,0,7,False
2020-12-26,Azerbaijan,30,Lead,Client Success,5,10,False
2018-12-04,Guinea,6,Mid-Level,Game Development,8,4,False
2021-12-27,Mozambique,24,Trainee,Game Development,10,4,False
2018-03-02,Saint Helena,9,Architect,Security,10,2,False
2018-11-07,Andorra,20,Intern,Security,5,4,False
2022-05-26,Comoros,19,Trainee,System Administration,1,6,False
2019-11-23,Marshall Islands,19,Junior,Development - FullStack,2,0,False
2021-11-16,Singapore,2,Lead,Business Intelligence,6,4,False
2020-03-25,Croatia,28,Senior,Design,1,7,False
2018-07-22,Cook Islands,2,Trainee,Development - FullStack,0,2,False
2021-11-24,Cook Islands,17,Senior,Sales,6,8,False
2018-03-11,Kyrgyz Republic,3,Architect,QA Manual,7,1,False
2019-11-05,Philippines,28,Trainee,QA Manual,6,10,False
2021-05-29,Virgin Islands British,6,Trainee,Development - CMS Backend,6,4,False
2018-10-05,Colombia,13,Architect,Development - FullStack,9,7,False
2019-07-08,Macedonia,28,Mid-Level,Adobe Experience Manager,8,7,False
2020-04-12,Thailand,29,Intern,Salesforce,7,7,False
2018-01-18,Cambodia,19,Trainee,Development - CMS Backend,2,8,False
2018-04-17,Germany,11,Trainee,Salesforce,10,1,False
2020-01-29,Aruba,29,Intern,Development - FullStack,0,0,False
2019-03-18,Seychelles,4,Senior,Business Intelligence,8,2,False
2020-07-07,French Southern Territories,30,Senior,Development - Backend,10,2,False
2021-08-20,Sri Lanka,7,Lead,Salesforce,8,6,False
2021-12-23,Samoa,23,Architect,System Administration,10,5,False
2021-03-03,Honduras,10,Junior,Game Development,8,10,True
2018-08-24,Bulgaria,7,Architect,Mulesoft,2,2,False
2022-04-03,Netherlands Antilles,28,Intern,DevOps,3,2,False
2019-07-14,Kuwait,1,Intern,Security Compliance,0,6,False
2018-12-05,Russian Federation,10,Senior,DevOps,0,1,False
2020-11-16,Saint Helena,26,Mid-Level,Business Intelligence,6,6,False
2019-03-23,Saint Helena,23,Architect,Client Success,5,2,False
2022-05-08,Cape Verde,11,Lead,Development - Backend,0,4,False
2022-07-01,Bolivia,18,Lead,Mulesoft,5,8,False
2018-11-07,Armenia,20,Intern,Development - CMS Frontend,3,6,False
2021-03-19,Burundi,20,Trainee,QA Manual,10,3,False
2018-01-25,Japan,9,Lead,Adobe Experience Manager,10,8,True
2019-08-17,San Marino,5,Lead,Technical Writing,0,1,False
2021-03-24,Central African Republic,2,Architect,QA Manual,8,10,True
2022-03-16,Bolivia,12,Junior,Development - Frontend,10,3,False
2020-11-06,Liberia,15,Senior,Design,4,10,False
2021-07-28,Palestinian Territory,5,Trainee,Technical Writing,2,10,False
2020-10-11,Sierra Leone,11,Trainee,Development - FullStack,10,7,False
2021-05-22,Norfolk Island,15,Lead,Sales,2,3,False
2021-08-02,Maldives,13,Architect,System Administration,3,10,False
2022-06-25,Svalbard & Jan Mayen Islands,30,Architect,Development - Frontend,8,0,False
2018-08-16,Namibia,17,Architect,Database Administration,3,7,False
2018-12-04,Guinea-Bissau,7,Lead,DevOps,3,1,False
